SENTENCE_ID	RELATION_ID	SENTENCE	ARGUMENT_1	ARGUMENT_1_CATEGORY	RELATION	ARGUMENT_2	ARGUMENT_2_CATEGORY
3	1	marcelo_tejedor , paleontólogo de a universidade_nacional_da_patagônia , esboça um sorriso meio sem graça quando lhe perguntam se não é uma situação frustrante .	marcelo_tejedor	PER	marcelo_tejedor , paleontólogo de a universidade_nacional_da_patagônia , esboça sem	universidade_nacional_da_patagônia	ORG
4	3	esse é um alvo viável para remédios contra a obesidade , disse um de os autores , john_clapham , de a empresa farmacêutica smith_kline_beecham , que fez o estudo em colaboração com a universidade_de_cambridge , reino_unido .	john_clapham	PER	esse é um alvo viável para remédios contra a obesidade , disse um de os autores , john_clapham , de a , que fez o estudo em colaboração com a universidade_de_cambridge ,	smith_kline_beecham	ORG
9	2	um grupo que reúne 13 sociedades científicas nacionais , lideradas por a academia_brasileira_de_ciências e por a associação_nacional_de_biossegurança ( anbio ) , enviou uma carta a o senado_federal para pedir mudanças em o projeto de a nova lei_de_biossegurança , recentemente aprovado por a câmara de os deputados .	associação_nacional_de_biossegurança	ORG	nacionais , lideradas por a academia_brasileira_de_ciências e por a associação_nacional_de_biossegurança ( anbio ) , a o para pedir mudanças em o projeto de a , recentemente aprovado por a câmara de	anbio	ORG
10	1	primeiro , pede que a ctnbio ( comissão_técnica_nacional_de_biossegurança ) seja a única instância a regulamentar tanto a pesquisa como a comercialização de transgênicos , em o âmbito de o mérito científico .	ctnbio	ORG	primeiro , pede que a ctnbio ( comissão_técnica_nacional_de_biossegurança ) seja a instância a a pesquisa como a comercialização de transgênicos , em o âmbito de o	comissão_técnica_nacional_de_biossegurança	ORG
11	1	a idéia foi lançada por o ministro_roberto_amaral ( ciência_e_tecnologia ) e detalhada ontem durante a abertura de o 1º congresso_internacional_de_biodiesel , realizado em ribeirão_preto e promovido por a usp ( universidade_de_são_paulo ) de a cidade .	ministro_roberto_amaral	PER	a idéia foi lançada por o ministro_roberto_amaral ( ciência_e_tecnologia ) e detalhada ontem durante a abertura de o 1º congresso_internacional_de_biodiesel , realizado em ribeirão_preto e promovido por a usp ( universidade_de_são_paulo ) de a	ciência_e_tecnologia	ORG
11	5	a idéia foi lançada por o ministro_roberto_amaral ( ciência_e_tecnologia ) e detalhada ontem durante a abertura de o 1º congresso_internacional_de_biodiesel , realizado em ribeirão_preto e promovido por a usp ( universidade_de_são_paulo ) de a cidade .	usp	ORG	a idéia foi lançada por o ministro_roberto_amaral ( ciência_e_tecnologia ) e detalhada ontem durante a abertura de o 1º congresso_internacional_de_biodiesel , realizado em ribeirão_preto e promovido por a usp ( universidade_de_são_paulo ) de a	universidade_de_são_paulo	ORG
12	1	francelino_grando , secretário_de_política_tecnológica_empresarial de o mct ( ministério_da_ciência_e_tecnologia ) , disse que a proposta é uma equação lógica .	francelino_grando	PER	francelino_grando , secretário_de_política_tecnológica_empresarial de o mct ( ministério_da_ciência_e_tecnologia ) , disse que a proposta é uma	mct	ORG
12	2	francelino_grando , secretário_de_política_tecnológica_empresarial de o mct ( ministério_da_ciência_e_tecnologia ) , disse que a proposta é uma equação lógica .	secretário_de_política_tecnológica_empresarial	PER	francelino_grando , secretário_de_política_tecnológica_empresarial de o mct ( ministério_da_ciência_e_tecnologia ) , disse que a proposta é uma	mct	ORG
12	3	francelino_grando , secretário_de_política_tecnológica_empresarial de o mct ( ministério_da_ciência_e_tecnologia ) , disse que a proposta é uma equação lógica .	mct	ORG	francelino_grando , secretário_de_política_tecnológica_empresarial de o mct ( ministério_da_ciência_e_tecnologia ) , disse que a proposta é uma	ministério_da_ciência_e_tecnologia	ORG
14	4	ainda ontem , o prefeito de ribeirão , gilberto_maggioni ( pmn ) , assinou uma carta de intenção com a usp para colocar parte de a frota de a administração municipal movida a biodiesel , já a partir de junho .	gilberto_maggioni	PER	ainda ontem , o prefeito de ribeirão , gilberto_maggioni ( pmn ) , assinou uma carta de intenção com a usp para colocar parte de a frota de a movida a biodiesel , já a partir de	pmn	ORG
